Year,Week,Home Team,Home Player,Home Player Points,Position,Away Player Points,Away Player,Away Team
2019,5,Zach,James White,13.2,FLEX,2.8,Marquez Valdes-Scantling,Haris
2019,5,Zach,Titans D/ST,7.0,D/ST,0.0,Browns D/ST,Haris
2019,5,Zach,Robbie Gould,5.0,K,4.0,Brett Maher,Haris
2019,6,Andrew,Tom Brady,21.96,QB,29.4,Deshaun Watson,McGwire
2019,6,Andrew,David Johnson,28.2,RB1,17.8,Leonard Fournette,McGwire
2019,6,Andrew,Dalvin Cook,13.4,RB2,3.5,Jonathan Hilliman,McGwire
2019,6,Andrew,Mike Evans,20.6,WR1,17.7,Adam Thielen,McGwire
2019,6,Andrew,Tyler Boyd,4.0,WR2,12.2,Mike Williams,McGwire
2019,6,Andrew,Will Dissly,0.0,TE,6.1,T.J. Hockenson,McGwire
2019,6,Andrew,Tyler Lockett,12.8,FLEX,8.3,Dede Westbrook,McGwire
2019,6,Andrew,Saints D/ST,10.0,D/ST,12.0,Commanders D/ST,McGwire
2019,6,Andrew,Matt Prater,21.0,K,13.0,Justin Tucker,McGwire
2019,6,Dante,Matt Ryan,30.94,QB,18.82,Patrick Mahomes,Justin
2019,6,Dante,Chris Carson,25.9,RB1,21.7,Christian McCaffrey,Justin
2019,6,Dante,Joe Mixon,5.9,RB2,13.3,Sony Michel,Justin
2019,6,Dante,Michael Thomas,16.9,WR1,15.6,DJ Moore,Justin
2019,6,Dante,Cooper Kupp,5.7,WR2,14.8,Calvin Ridley,Justin
2019,6,Dante,Zach Ertz,7.4,TE,9.2,Greg Olsen,Justin
2019,6,Dante,Terry McLaurin,26.0,FLEX,11.6,Courtland Sutton,Justin
2019,6,Dante,Packers D/ST,5.0,D/ST,4.0,Chargers D/ST,Justin
2019,6,Dante,Joey Slye,13.0,K,1.0,Greg Zuerlein,Justin
2019,6,Haris,Dak Prescott,18.22,QB,28.8,Kyler Murray,Carter
2019,6,Haris,Ezekiel Elliott,26.3,RB1,4.9,Jordan Howard,Carter
2019,6,Haris,Le'Veon Bell,12.3,RB2,4.0,Chris Thompson,Carter
2019,6,Haris,Jarvis Landry,6.6,WR1,16.5,DeAndre Hopkins,Carter
2019,6,Haris,Amari Cooper,1.3,WR2,7.3,DJ Chark,Carter
2019,6,Haris,Austin Hooper,25.7,TE,3.3,Tyler Eifert,Carter
2019,6,Haris,William Fuller V,9.4,FLEX,23.8,Curtis Samuel,Carter
2019,6,Haris,Browns D/ST,-1.0,D/ST,28.0,Patriots D/ST,Carter
2019,6,Haris,Brett Maher,13.0,K,4.0,Mike Nugent,Carter
2019,6,Klapp,Russell Wilson,28.9,QB,20.54,Carson Wentz,Nathan
2019,6,Klapp,Adrian Peterson,15.6,RB1,26.8,Devonta Freeman,Nathan
2019,6,Klapp,Ito Smith,0.6,RB2,5.8,Austin Ekeler,Nathan
2019,6,Klapp,Stefon Diggs,43.5,WR1,18.8,Julio Jones,Nathan
2019,6,Klapp,Robbie Chosen,23.5,WR2,5.1,Preston Williams,Nathan
2019,6,Klapp,George Kittle,18.3,TE,13.9,Mark Andrews,Nathan
2019,6,Klapp,Tyreek Hill,25.0,FLEX,14.1,Kerryon Johnson,Nathan
2019,6,Klapp,Broncos D/ST,20.0,D/ST,7.0,Ravens D/ST,Nathan
2019,6,Klapp,Wil Lutz,8.0,K,10.0,Zane Gonzalez,Nathan
2019,6,Michael,Teddy Bridgewater,13.6,QB,1.12,Jared Goff,Zach
2019,6,Michael,Nick Chubb,28.9,RB1,15.4,Mark Ingram II,Zach
2019,6,Michael,Aaron Jones Sr.,8.0,RB2,13.5,James White,Zach
2019,6,Michael,Chris Godwin Jr.,25.1,WR1,17.1,Kenny Golladay,Zach
2019,6,Michael,Davante Adams,0.0,WR2,16.1,Odell Beckham Jr.,Zach
2019,6,Michael,Gerald Everett,2.9,TE,3.7,Jimmy Graham,Zach
2019,6,Michael,Julian Edelman,20.3,FLEX,30.9,James Conner,Zach
2019,6,Michael,Vikings D/ST,5.0,D/ST,6.0,Titans D/ST,Zach
2019,6,Michael,Harrison Butker,6.0,K,7.0,Robbie Gould,Zach
2019,6,Noah,Lamar Jackson,30.64,QB,4.62,Gardner Minshew,Ethan
2019,6,Noah,Phillip Lindsay,15.5,RB1,9.0,Damien Williams,Ethan
2019,6,Noah,Alvin Kamara,13.6,RB2,4.3,Derrick Henry,Ethan
2019,6,Noah,Keenan Allen,5.3,WR1,12.9,Larry Fitzgerald,Ethan
2019,6,Noah,Josh Gordon,1.7,WR2,1.7,JuJu Smith-Schuster,Ethan
2019,6,Noah,Travis Kelce,9.8,TE,7.3,Delanie Walker,Ethan
2019,6,Noah,Melvin Gordon III,7.8,FLEX,11.3,DK Metcalf,Ethan
